word,FREQcount,CDcount,FREQlow,CDlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,length
forgot,5045,3217,4886,3146,98.92,3.7029,38.35,3.5076,6
talked,5226,3187,5158,3165,102.47,3.7183,37.99,3.5035,6
finish,5045,3124,4582,2942,98.92,3.7029,37.24,3.4949,6
ladies,7054,3101,4390,2295,138.31,3.8485,36.97,3.4916,6
needed,4818,3101,4789,3093,94.47,3.683,36.97,3.4916,6
choice,4975,3095,4925,3072,97.55,3.6969,36.9,3.4908,6
cannot,6465,3080,6380,3058,126.76,3.8106,36.72,3.4887,6
caught,4791,3063,4578,2985,93.94,3.6805,36.52,3.4863,6
sister,9207,3046,7971,2911,180.53,3.9642,36.31,3.4839,6
coffee,7371,3039,6559,2876,144.53,3.8676,36.23,3.4829,6
middle,4549,2957,4154,2785,89.2,3.658,35.25,3.471,6
missed,4568,2924,4413,2862,89.57,3.6598,34.86,3.4661,6
others,5061,2916,4799,2826,99.24,3.7043,34.76,3.4649,6
across,4801,2892,4577,2814,94.14,3.6814,34.48,3.4613,6
simple,4555,2861,4169,2706,89.31,3.6586,34.11,3.4567,6
secret,5585,2847,4969,2688,109.51,3.7471,33.94,3.4545,6
bought,4362,2687,4270,2648,85.53,3.6398,32.03,3.4294,6
strong,4430,2684,4156,2606,86.86,3.6465,32,3.4289,6
charge,4559,2675,4201,2554,89.39,3.659,31.89,3.4275,6
future,5278,2631,5099,2607,103.49,3.7226,31.37,3.4203,6
entire,4070,2627,4061,2623,79.8,3.6097,31.32,3.4196,6
report,5508,2621,5109,2527,108,3.7411,31.25,3.4186,6
return,4676,2611,4311,2508,91.69,3.67,31.13,3.417,6
during,3872,2524,3369,2310,75.92,3.588,30.09,3.4023,6
lovely,4853,2473,4163,2247,95.16,3.6861,29.48,3.3934,6
window,4386,2442,4287,2410,86,3.6422,29.11,3.3879,6
hungry,3931,2441,3690,2352,77.08,3.5946,29.1,3.3877,6
picked,3534,2431,3442,2392,69.29,3.5484,28.98,3.386,6
broken,3634,2409,3450,2356,71.25,3.5605,28.72,3.382,6
record,4365,2395,4265,2365,85.59,3.6401,28.55,3.3795,6
bother,3436,2383,3399,2370,67.37,3.5362,28.41,3.3773,6
single,3676,2377,3452,2279,72.08,3.5655,28.34,3.3762,6
honest,3689,2331,3241,2128,72.33,3.567,27.79,3.3677,6
ground,3696,2265,3572,2223,72.47,3.5678,27,3.3553,6
system,4667,2240,4500,2200,91.51,3.6691,26.7,3.3504,6
plenty,3178,2181,2704,1961,62.31,3.5023,26,3.3389,6
notice,3022,2170,2833,2069,59.25,3.4804,25.87,3.3367,6
gotten,2768,2134,2757,2132,54.27,3.4423,25.44,3.3294,6
normal,3589,2134,3410,2086,70.37,3.5551,25.44,3.3294,6
public,3625,2107,3330,1998,71.08,3.5594,25.12,3.3239,6
eating,3102,2105,2954,2040,60.82,3.4918,25.1,3.3235,6
murder,5717,2046,5277,1977,112.1,3.7572,24.39,3.3111,6
losing,2722,2016,2549,1935,53.37,3.435,24.03,3.3047,6
within,3017,1983,2740,1873,59.16,3.4797,23.64,3.2975,6
places,2706,1973,2573,1915,53.06,3.4325,23.52,3.2953,6
double,3198,1972,2558,1686,62.71,3.505,23.51,3.2951,6
hoping,2544,1965,2478,1933,49.88,3.4057,23.43,3.2936,6
attack,3853,1957,3636,1901,75.55,3.5859,23.33,3.2918,6
bigger,2765,1948,2618,1885,54.22,3.4419,23.22,3.2898,6
seemed,2767,1924,2656,1864,54.25,3.4422,22.94,3.2844,6
decide,2571,1920,2528,1902,50.41,3.4103,22.89,3.2835,6
passed,2631,1915,2574,1890,51.59,3.4203,22.83,3.2824,6
walked,2737,1907,2681,1883,53.67,3.4374,22.73,3.2806,6
closed,2758,1862,2649,1822,54.08,3.4408,22.2,3.2702,6
accept,2692,1861,2598,1820,52.78,3.4302,22.19,3.27,6
hardly,2613,1858,2312,1666,51.24,3.4173,22.15,3.2693,6
action,3115,1857,2748,1737,61.08,3.4936,22.14,3.269,6
pulled,2488,1832,2415,1797,48.78,3.396,21.84,3.2632,6
showed,2425,1827,2385,1799,47.55,3.3849,21.78,3.262,6
acting,2675,1813,2533,1746,52.45,3.4275,21.61,3.2586,6
corner,2679,1806,2573,1761,52.53,3.4281,21.53,3.257,6
played,2870,1799,2807,1770,56.27,3.458,21.45,3.2553,6
helped,2388,1797,2363,1786,46.82,3.3782,21.42,3.2548,6
lately,2459,1795,2291,1698,48.22,3.3909,21.4,3.2543,6
pardon,3297,1788,1840,1140,64.65,3.5183,21.32,3.2526,6
bottom,2546,1778,2329,1654,49.92,3.406,21.2,3.2502,6
letter,4213,1758,4140,1738,82.61,3.6247,20.96,3.2453,6
locked,2670,1735,2550,1673,52.35,3.4267,20.68,3.2395,6
dreams,3285,1732,3115,1700,64.41,3.5167,20.65,3.2388,6
christ,4597,1722,46,24,90.14,3.6626,20.53,3.2363,6
leaves,2316,1719,2236,1679,45.41,3.3649,20.49,3.2355,6
starts,2335,1714,2235,1662,45.78,3.3685,20.43,3.2343,6
lights,2877,1710,2614,1600,56.41,3.4591,20.39,3.2333,6
asleep,2541,1705,2485,1679,49.82,3.4052,20.33,3.232,6
arrest,3037,1691,2759,1608,59.55,3.4826,20.16,3.2284,6
closer,2329,1688,2188,1636,45.67,3.3674,20.12,3.2276,6
lawyer,4055,1686,3959,1669,79.51,3.6081,20.1,3.2271,6
advice,2447,1679,2413,1664,47.98,3.3888,20.02,3.2253,6
crying,2709,1664,2562,1621,53.12,3.433,19.84,3.2214,6
common,2275,1652,2171,1606,44.61,3.3572,19.69,3.2183,6
afford,2266,1650,2259,1647,44.43,3.3555,19.67,3.2177,6
easier,2012,1644,1948,1611,39.45,3.3038,19.6,3.2162,6
summer,4012,1629,2953,1493,78.67,3.6035,19.42,3.2122,6
choose,2451,1625,2281,1553,48.06,3.3895,19.37,3.2111,6
became,2435,1610,2408,1597,47.75,3.3867,19.19,3.2071,6
paying,2207,1610,2157,1582,43.27,3.344,19.19,3.2071,6
heaven,2887,1608,2296,1379,56.61,3.4606,19.17,3.2066,6
breath,2291,1603,2232,1574,44.92,3.3602,19.11,3.2052,6
belong,2263,1576,2244,1567,44.37,3.3549,18.79,3.1978,6
hiding,2207,1567,2081,1508,43.27,3.344,18.68,3.1953,6
bottle,2588,1561,2510,1537,50.75,3.4131,18.61,3.1937,6
simply,2362,1557,2166,1467,46.31,3.3735,18.56,3.1926,6
orders,3130,1551,2987,1512,61.37,3.4957,18.49,3.1909,6
search,2467,1549,2172,1412,48.37,3.3923,18.47,3.1903,6
taught,2236,1540,2178,1513,43.84,3.3497,18.36,3.1878,6
guilty,3177,1538,2895,1452,62.29,3.5022,18.34,3.1872,6
prison,3368,1527,3071,1474,66.04,3.5275,18.2,3.1841,6
settle,2143,1526,1855,1374,42.02,3.3312,18.19,3.1838,6
fellow,2987,1525,2846,1478,58.57,3.4754,18.18,3.1836,6
nature,2303,1525,2052,1416,45.16,3.3625,18.18,3.1836,6
memory,2477,1514,2387,1483,48.57,3.3941,18.05,3.1804,6
career,2305,1506,2250,1493,45.2,3.3629,17.95,3.1781,6
beauty,2460,1504,2100,1367,48.24,3.3911,17.93,3.1775,6
flying,2579,1501,2298,1401,50.57,3.4116,17.89,3.1767,6
remind,1883,1498,1608,1308,36.92,3.2751,17.86,3.1758,6
beyond,2200,1496,1982,1407,43.14,3.3426,17.84,3.1752,6
credit,2337,1490,2244,1449,45.82,3.3688,17.76,3.1735,6
brings,1791,1484,1726,1438,35.12,3.2533,17.69,3.1717,6
french,3541,1471,222,118,69.43,3.5492,17.54,3.1679,6
papers,2638,1469,2562,1452,51.73,3.4214,17.51,3.1673,6
spirit,2517,1466,2210,1370,49.35,3.4011,17.48,3.1664,6
famous,2296,1434,2204,1384,45.02,3.3612,17.1,3.1569,6
agreed,1832,1432,1598,1288,35.92,3.2632,17.07,3.1562,6
itself,2029,1424,2023,1424,39.78,3.3075,16.98,3.1538,6
danger,2227,1415,2051,1365,43.67,3.3479,16.87,3.1511,6
sooner,1888,1415,1637,1255,37.02,3.2762,16.87,3.1511,6
bright,2265,1403,1692,1261,44.41,3.3553,16.73,3.1474,6
killer,3206,1402,2895,1333,62.86,3.5061,16.71,3.1471,6
driver,2416,1398,2153,1286,47.37,3.3833,16.67,3.1458,6
faster,2233,1391,1678,1200,43.78,3.3491,16.58,3.1436,6
camera,2907,1387,2663,1324,57,3.4636,16.54,3.1424,6
escape,2258,1386,2147,1348,44.27,3.3539,16.52,3.1421,6
animal,2320,1372,2086,1281,45.49,3.3657,16.36,3.1377,6
insane,1973,1372,1904,1348,38.69,3.2953,16.36,3.1377,6
lonely,2125,1364,1978,1313,41.67,3.3276,16.26,3.1351,6
flight,3044,1358,2524,1255,59.69,3.4836,16.19,3.1332,6
states,2759,1353,545,402,54.1,3.4409,16.13,3.1316,6
health,2054,1341,1736,1218,40.27,3.3128,15.99,3.1278,6
church,3553,1340,2843,1228,69.67,3.5507,15.98,3.1274,6
stayed,1668,1335,1640,1318,32.71,3.2225,15.92,3.1258,6
friday,2429,1331,67,46,47.63,3.3856,15.87,3.1245,6
master,4450,1322,2327,1116,87.25,3.6485,15.76,3.1216,6
ticket,2324,1322,2243,1287,45.57,3.3664,15.76,3.1216,6
opened,1726,1321,1707,1309,33.84,3.2373,15.75,3.1212,6
prefer,1679,1311,1673,1310,32.92,3.2253,15.63,3.1179,6
sudden,1707,1310,1670,1290,33.47,3.2325,15.62,3.1176,6
assume,1707,1306,1648,1278,33.47,3.2325,15.57,3.1163,6
signed,1839,1304,1676,1187,36.06,3.2648,15.55,3.1156,6
shower,2097,1299,2040,1275,41.12,3.3218,15.49,3.1139,6
weight,1850,1296,1773,1262,36.27,3.2674,15.45,3.1129,6
nearly,1721,1290,1566,1210,33.75,3.236,15.38,3.1109,6
finger,1870,1287,1820,1269,36.67,3.2721,15.34,3.1099,6
nights,1727,1286,1670,1252,33.86,3.2375,15.33,3.1096,6
pocket,1821,1282,1769,1260,35.71,3.2605,15.28,3.1082,6
movies,2346,1275,2275,1254,46,3.3705,15.2,3.1059,6
pieces,1783,1266,1725,1237,34.96,3.2514,15.09,3.1028,6
buying,1679,1262,1607,1223,32.92,3.2253,15.05,3.1014,6
center,2335,1255,1512,977,45.78,3.3685,14.96,3.099,6
saving,1536,1250,1423,1185,30.12,3.1867,14.9,3.0973,6
strike,2324,1240,1736,1078,45.57,3.3664,14.78,3.0938,6
throat,1837,1239,1668,1182,36.02,3.2643,14.77,3.0934,6
indeed,2065,1238,1499,983,40.49,3.3151,14.76,3.0931,6
weapon,2379,1232,2326,1209,46.65,3.3766,14.69,3.091,6
drinks,1744,1228,1630,1169,34.2,3.2418,14.64,3.0896,6
mister,2326,1228,1496,906,45.61,3.3668,14.64,3.0896,6
sunday,2206,1226,66,45,43.25,3.3438,14.62,3.0888,6
barely,1482,1216,1336,1126,29.06,3.1711,14.5,3.0853,6
remain,1694,1205,1601,1167,33.22,3.2292,14.37,3.0813,6
spread,1596,1194,1274,1003,31.29,3.2033,14.23,3.0774,6
headed,1570,1191,1522,1168,30.78,3.1962,14.2,3.0763,6
market,1848,1189,1728,1137,36.24,3.2669,14.18,3.0755,6
waited,1485,1186,1457,1172,29.12,3.172,14.14,3.0745,6
damage,1686,1177,1609,1145,33.06,3.2271,14.03,3.0711,6
victim,2434,1176,2325,1155,47.73,3.3865,14.02,3.0708,6
travel,1702,1175,1598,1126,33.37,3.2312,14.01,3.0704,6
genius,1773,1174,1640,1126,34.76,3.249,14,3.07,6
harder,1544,1173,1376,1105,30.27,3.1889,13.98,3.0697,6
kicked,1559,1166,1527,1143,30.57,3.1931,13.9,3.0671,6
repeat,1684,1166,1196,915,33.02,3.2266,13.9,3.0671,6
george,7474,1163,23,16,146.55,3.8736,13.87,3.066,6
united,2564,1158,200,154,50.27,3.4091,13.81,3.0641,6
safety,1649,1147,1499,1068,32.33,3.2175,13.67,3.0599,6
borrow,1495,1145,1445,1120,29.31,3.1749,13.65,3.0592,6
filled,1386,1143,1336,1111,27.18,3.1421,13.63,3.0584,6
social,1703,1135,1422,994,33.39,3.2315,13.53,3.0554,6
cheese,1991,1130,1731,1025,39.04,3.2993,13.47,3.0535,6
battle,2155,1126,1856,1031,42.25,3.3336,13.42,3.0519,6
lesson,1644,1120,1583,1099,32.24,3.2162,13.35,3.0496,6
tongue,1589,1117,1524,1093,31.16,3.2014,13.32,3.0484,6
invite,1509,1111,1423,1064,29.59,3.179,13.25,3.0461,6
member,1468,1109,1414,1087,28.78,3.167,13.22,3.0453,6
decent,1433,1106,1374,1075,28.1,3.1565,13.19,3.0441,6
bodies,1694,1103,1644,1077,33.22,3.2292,13.15,3.043,6
mostly,1330,1099,974,836,26.08,3.1242,13.1,3.0414,6
buried,1738,1095,1675,1067,34.08,3.2403,13.05,3.0398,6
failed,1467,1092,1441,1076,28.76,3.1667,13.02,3.0386,6
speech,1940,1090,1823,1050,38.04,3.288,12.99,3.0378,6
smells,1391,1089,1151,922,27.27,3.1436,12.98,3.0374,6
forced,1349,1079,1309,1059,26.45,3.1303,12.86,3.0334,6
square,1620,1072,1176,849,31.76,3.2098,12.78,3.0306,6
stolen,1750,1072,1677,1046,34.31,3.2433,12.78,3.0306,6
riding,1632,1057,1500,996,32,3.213,12.6,3.0245,6
points,1642,1049,1593,1035,32.2,3.2156,12.51,3.0212,6
bridge,2331,1046,1847,889,45.71,3.3677,12.47,3.0199,6
fellas,1973,1043,1741,963,38.69,3.2953,12.43,3.0187,6
cousin,2491,1041,2196,993,48.84,3.3965,12.41,3.0179,6
likely,1314,1041,1266,1014,25.76,3.1189,12.41,3.0179,6
burned,1448,1038,1379,1006,28.39,3.1611,12.37,3.0166,6
caused,1318,1038,1292,1021,25.84,3.1202,12.37,3.0166,6
raised,1312,1038,1275,1016,25.73,3.1183,12.37,3.0166,6
female,1612,1037,1401,937,31.61,3.2076,12.36,3.0162,6
monday,1698,1034,36,31,33.29,3.2302,12.33,3.0149,6
player,1926,1031,1828,1012,37.76,3.2849,12.29,3.0137,6
brains,1401,1028,1335,1003,27.47,3.1467,12.26,3.0124,6
regret,1384,1027,1331,1017,27.14,3.1414,12.24,3.012,6
spring,1597,1027,1345,910,31.31,3.2036,12.24,3.012,6
signal,1926,1024,1786,984,37.76,3.2849,12.21,3.0107,6
higher,1420,1023,1273,952,27.84,3.1526,12.2,3.0103,6
period,1417,1022,1278,927,27.78,3.1517,12.18,3.0099,6
rights,1510,1021,1424,981,29.61,3.1793,12.17,3.0095,6
client,2715,1020,2693,1014,53.24,3.4339,12.16,3.009,6
yellow,1724,1019,1323,883,33.8,3.2368,12.15,3.0086,6
amount,1262,1012,1260,1010,24.75,3.1014,12.06,3.0056,6
boring,1398,1012,1277,953,27.41,3.1458,12.06,3.0056,6
bullet,1950,1006,1676,966,38.24,3.2903,11.99,3.003,6
dating,1689,1002,1612,969,33.12,3.2279,11.95,3.0013,6
season,1605,1000,1453,882,31.47,3.2057,11.92,3.0004,6
switch,1434,1000,1225,895,28.12,3.1569,11.92,3.0004,6
babies,1704,995,1582,943,33.41,3.2317,11.86,2.9983,6
energy,1678,995,1587,963,32.9,3.2251,11.86,2.9983,6
surely,1407,994,716,565,27.59,3.1486,11.85,2.9978,6
pounds,1595,992,1584,987,31.27,3.203,11.83,2.9969,6
freeze,1640,988,686,515,32.16,3.2151,11.78,2.9952,6
ruined,1302,981,1257,964,25.53,3.1149,11.7,2.9921,6
fought,1362,978,1327,963,26.71,3.1345,11.66,2.9908,6
proper,1289,972,1266,964,25.27,3.1106,11.59,2.9881,6
jacket,1704,971,1667,957,33.41,3.2317,11.58,2.9877,6
theory,1459,965,1415,948,28.61,3.1644,11.5,2.985,6
slowly,1279,959,989,805,25.08,3.1072,11.43,2.9823,6
appear,1192,957,1168,947,23.37,3.0766,11.41,2.9814,6
clever,1391,957,1239,886,27.27,3.1436,11.41,2.9814,6
easily,1151,955,1114,927,22.57,3.0615,11.39,2.9805,6
toilet,1474,954,1413,929,28.9,3.1688,11.37,2.98,6
loving,1275,946,1134,875,25,3.1059,11.28,2.9763,6
target,1936,945,1672,878,37.96,3.2871,11.27,2.9759,6
fourth,1349,940,936,723,26.45,3.1303,11.21,2.9736,6
direct,1226,931,1147,883,24.04,3.0888,11.1,2.9694,6
effect,1219,930,1200,921,23.9,3.0864,11.09,2.9689,6
create,1289,924,1253,903,25.27,3.1106,11.02,2.9661,6
access,1615,923,1483,879,31.67,3.2084,11,2.9657,6
pissed,1300,921,1268,909,25.49,3.1143,10.98,2.9647,6
county,1722,920,742,459,33.76,3.2363,10.97,2.9643,6
winner,1592,916,1431,858,31.22,3.2022,10.92,2.9624,6
sexual,1693,913,1568,867,33.2,3.2289,10.88,2.9609,6
button,1441,900,1322,851,28.25,3.159,10.73,2.9547,6
bloody,1962,899,1577,781,38.47,3.2929,10.72,2.9542,6
suffer,1148,898,1121,883,22.51,3.0603,10.71,2.9538,6
intend,1183,897,1180,895,23.2,3.0734,10.69,2.9533,6
leader,1589,894,1346,846,31.16,3.2014,10.66,2.9518,6
twenty,1378,892,660,421,27.02,3.1396,10.63,2.9509,6
manage,1095,889,1083,885,21.47,3.0398,10.6,2.9494,6
closet,1381,886,1360,876,27.08,3.1405,10.56,2.9479,6
guests,1311,884,1256,865,25.71,3.1179,10.54,2.9469,6
talent,1332,883,1279,867,26.12,3.1248,10.53,2.9465,6
silver,1619,881,1064,701,31.75,3.2095,10.5,2.9455,6
thrown,1047,881,1022,867,20.53,3.0204,10.5,2.9455,6
toward,1169,879,1132,856,22.92,3.0682,10.48,2.9445,6
busted,1168,876,1062,801,22.9,3.0678,10.44,2.943,6
stands,1093,876,1039,852,21.43,3.039,10.44,2.943,6
highly,1081,874,1032,834,21.2,3.0342,10.42,2.942,6
dollar,1410,872,1338,842,27.65,3.1495,10.4,2.941,6
mirror,1233,871,1175,851,24.18,3.0913,10.38,2.9405,6
scream,1347,866,1220,803,26.41,3.1297,10.32,2.938,6
fucked,2291,865,2213,851,44.92,3.3602,10.31,2.9375,6
horses,2087,859,1972,836,40.92,3.3197,10.24,2.9345,6
planet,1975,858,1771,790,38.73,3.2958,10.23,2.934,6
spoken,1012,857,949,812,19.84,3.0056,10.22,2.9335,6
sports,1407,852,1165,754,27.59,3.1486,10.16,2.9309,6
hearts,1172,851,1082,813,22.98,3.0693,10.15,2.9304,6
jumped,1078,849,1056,835,21.14,3.033,10.12,2.9294,6
kissed,1454,849,1436,842,28.51,3.1629,10.12,2.9294,6
refuse,1070,849,1051,834,20.98,3.0298,10.12,2.9294,6
policy,1378,847,1351,836,27.02,3.1396,10.1,2.9284,6
stairs,1212,846,1167,824,23.76,3.0839,10.09,2.9279,6
expert,1128,842,1105,832,22.12,3.0527,10.04,2.9258,6
secure,1241,842,1038,749,24.33,3.0941,10.04,2.9258,6
garden,1354,841,1066,676,26.55,3.1319,10.03,2.9253,6
served,1007,841,972,820,19.75,3.0035,10.03,2.9253,6
winter,1337,839,1132,761,26.22,3.1265,10,2.9243,6
outfit,1280,838,1278,838,25.1,3.1075,9.99,2.9238,6
hidden,1085,835,1016,791,21.27,3.0358,9.95,2.9222,6
affair,1502,834,1467,821,29.45,3.177,9.94,2.9217,6
object,1314,823,1283,814,25.76,3.1189,9.81,2.9159,6
assure,1021,819,1011,811,20.02,3.0095,9.76,2.9138,6
latest,955,819,925,794,18.73,2.9805,9.76,2.9138,6
junior,1825,818,608,469,35.78,3.2615,9.75,2.9133,6
remove,1084,818,896,721,21.25,3.0354,9.75,2.9133,6
garage,1388,816,1344,798,27.22,3.1427,9.73,2.9122,6
source,1437,812,1131,777,28.18,3.1578,9.68,2.9101,6
breaks,960,809,924,781,18.82,2.9827,9.64,2.9085,6
engine,1626,807,1393,718,31.88,3.2114,9.62,2.9074,6
effort,987,795,985,793,19.35,2.9948,9.48,2.9009,6
pushed,1045,794,1025,785,20.49,3.0195,9.47,2.9004,6
recall,1003,787,975,773,19.67,3.0017,9.38,2.8965,6
mighty,1355,785,1126,708,26.57,3.1323,9.36,2.8954,6
silent,1173,785,945,712,23,3.0697,9.36,2.8954,6
monkey,1709,782,1403,716,33.51,3.233,9.32,2.8938,6
result,1008,777,995,770,19.76,3.0039,9.26,2.891,6
artist,1460,775,1418,760,28.63,3.1647,9.24,2.8899,6
senior,1339,774,1051,674,26.25,3.1271,9.23,2.8893,6
london,2347,773,15,8,46.02,3.3707,9.22,2.8887,6
ignore,951,771,794,662,18.65,2.9786,9.19,2.8876,6
rescue,1296,766,1137,724,25.41,3.1129,9.13,2.8848,6
screen,1193,766,1152,749,23.39,3.077,9.13,2.8848,6
loaded,948,760,916,741,18.59,2.9773,9.06,2.8814,6
golden,1187,757,726,530,23.27,3.0748,9.02,2.8797,6
threat,1059,757,1033,747,20.76,3.0253,9.02,2.8797,6
insist,910,751,901,747,17.84,2.9595,8.95,2.8762,6
vision,1218,751,1164,729,23.88,3.086,8.95,2.8762,6
joking,949,749,922,736,18.61,2.9777,8.93,2.8751,6
packed,904,745,861,716,17.73,2.9566,8.88,2.8727,6
ripped,972,745,612,494,19.06,2.9881,8.88,2.8727,6
steady,1158,742,741,556,22.71,3.0641,8.85,2.871,6
houses,975,738,933,719,19.12,2.9894,8.8,2.8686,6
detail,989,737,929,709,19.39,2.9956,8.79,2.8681,6
desire,1034,733,977,713,20.27,3.0149,8.74,2.8657,6
desert,1427,730,1230,645,27.98,3.1547,8.7,2.8639,6
tricks,969,730,945,718,19,2.9868,8.7,2.8639,6
cancel,933,727,792,633,18.29,2.9703,8.67,2.8621,6
arrive,953,725,942,721,18.69,2.9795,8.64,2.8609,6
commit,984,724,965,717,19.29,2.9934,8.63,2.8603,6
wasted,854,722,825,707,16.75,2.932,8.61,2.8591,6
former,932,719,840,665,18.27,2.9699,8.57,2.8573,6
fallen,863,718,831,697,16.92,2.9365,8.56,2.8567,6
begins,844,716,830,709,16.55,2.9269,8.54,2.8555,6
cheers,1158,711,211,171,22.71,3.0641,8.48,2.8525,6
series,1028,711,837,624,20.16,3.0124,8.48,2.8525,6
smooth,932,710,731,591,18.27,2.9699,8.46,2.8519,6
aboard,1358,709,1335,706,26.63,3.1332,8.45,2.8513,6
mental,1002,707,926,671,19.65,3.0013,8.43,2.85,6
actual,884,706,859,687,17.33,2.9469,8.42,2.8494,6
joined,841,700,825,687,16.49,2.9253,8.35,2.8457,6
supply,952,700,873,652,18.67,2.9791,8.35,2.8457,6
poison,1252,696,1133,644,24.55,3.098,8.3,2.8432,6
finest,840,695,796,668,16.47,2.9248,8.29,2.8426,6
warned,808,693,802,689,15.84,2.9079,8.26,2.8414,6
issues,954,692,946,688,18.71,2.98,8.25,2.8407,6
circle,1097,689,898,596,21.51,3.0406,8.21,2.8388,6
prince,2299,689,979,396,45.08,3.3617,8.21,2.8388,6
wallet,1163,689,1143,677,22.8,3.066,8.21,2.8388,6
demand,873,687,841,668,17.12,2.9415,8.19,2.8376,6
estate,1076,687,1022,670,21.1,3.0322,8.19,2.8376,6
island,2018,684,1987,677,39.57,3.3051,8.15,2.8357,6
orange,1138,684,866,542,22.31,3.0565,8.15,2.8357,6
defend,959,683,928,667,18.8,2.9823,8.14,2.8351,6
speaks,1068,681,901,646,20.94,3.029,8.12,2.8338,6
modern,930,676,800,608,18.24,2.9689,8.06,2.8306,6
powers,1826,675,1499,620,35.8,3.2617,8.05,2.8299,6
gather,799,674,623,555,15.67,2.9031,8.04,2.8293,6
butter,1042,672,945,638,20.43,3.0183,8.01,2.828,6
dumped,915,670,891,660,17.94,2.9619,7.99,2.8267,6
messed,853,669,838,658,16.73,2.9315,7.98,2.8261,6
events,860,668,838,652,16.86,2.935,7.96,2.8254,6
forces,1064,668,933,596,20.86,3.0273,7.96,2.8254,6
struck,826,665,805,659,16.2,2.9175,7.93,2.8235,6
chosen,927,664,880,646,18.18,2.9675,7.92,2.8228,6
wishes,940,663,922,652,18.43,2.9736,7.9,2.8222,6
behave,828,652,721,585,16.24,2.9186,7.77,2.8149,6
rotten,891,650,824,616,17.47,2.9504,7.75,2.8136,6
twelve,960,649,455,328,18.82,2.9827,7.74,2.8129,6
timing,764,641,728,620,14.98,2.8837,7.64,2.8075,6
damned,898,639,781,584,17.61,2.9538,7.62,2.8062,6
guards,1237,635,999,561,24.25,3.0927,7.57,2.8035,6
gentle,844,630,758,586,16.55,2.9269,7.51,2.8,6
motion,967,630,851,579,18.96,2.9859,7.51,2.8,6
flower,1161,629,936,580,22.76,3.0652,7.5,2.7993,6
shadow,1080,624,801,571,21.18,3.0338,7.44,2.7959,6
nation,1045,620,967,591,20.49,3.0195,7.39,2.7931,6
photos,1016,615,975,591,19.92,3.0073,7.33,2.7896,6
firing,937,613,859,583,18.37,2.9722,7.31,2.7882,6
beside,774,611,718,570,15.18,2.8893,7.28,2.7868,6
