"","cue","n_resp","resp","count"
"1436","story",29,"house",1
"1536","story",29,"human",1
"1635","story",29,"lines",1
"1733","story",29,"lying",1
"1830","story",29,"movie",1
"1928","story",29,"multi",1
"2023","story",29,"music",1
"2127","story",29,"myths",1
"2319","story",29,"quilt",1
"2416","story",29,"recap",1
"2513","story",29,"relax",1
"2611","story",29,"short",1
"279","story",29,"study",1
"292","story",29,"write",1
"544","paint",26,"color",45
"284","paint",26,"brush",35
"1242","paint",26,"house",13
"1164","paint",26,"horse",5
"2514","paint",26,"walls",5
"643","paint",26,"cover",4
"2612","paint",26,"white",4
"1340","paint",26,"latex",3
"943","paint",26,"fence",2
"1929","paint",26,"shiny",2
"2417","paint",26,"wagon",2
"1165","paint",26,"board",1
"343","paint",26,"chalk",1
"444","paint",26,"child",1
"744","paint",26,"daily",1
"843","paint",26,"decor",1
"1044","paint",26,"gloss",1
"1438","paint",26,"messy",1
"1538","paint",26,"Monet",1
"1637","paint",26,"mural",1
"1735","paint",26,"nails",1
"1831","paint",26,"paper",1
"2024","paint",26,"skill",1
"2128","paint",26,"smell",1
"2224","paint",26,"stain",1
"2320","paint",26,"today",1
"1832","sense",25,"smell",33
"2515","sense",25,"touch",14
"2321","sense",25,"taste",8
"1539","sense",25,"sight",6
"1736","sense",25,"smart",4
"1638","sense",25,"sixth",3
"344","sense",25,"cents",2
"1166","sense",25,"aware",1
"285","sense",25,"brain",1
"445","sense",25,"dense",1
"545","sense",25,"fifth",1
"644","sense",25,"horse",1
"745","sense",25,"humor",1
"844","sense",25,"karma",1
"944","sense",25,"logic",1
"1045","sense",25,"maybe",1
"1167","sense",25,"money",1
"1243","sense",25,"nerve",1
"1341","sense",25,"peace",1
"1439","sense",25,"right",1
"1930","sense",25,"Snell",1
"2025","sense",25,"spoon",1
"2129","sense",25,"stink",1
"2225","sense",25,"sweet",1
"2418","sense",25,"think",1
"1833","first",27,"place",10
"2322","first",27,"third",8
"546","first",27,"class",5
"345","first",27,"begin",3
"945","first",27,"front",3
"2026","first",27,"prize",3
"446","first",27,"child",2
"1046","first",27,"grade",2
"1931","first",27,"prime",2
"1168","first",27,"ahead",1
"286","first",27,"alpha",1
"645","first",27,"debut",1
"746","first",27,"early",1
"845","first",27,"every",1
"1169","first",27,"happy",1
"1244","first",27,"level",1
"1342","first",27,"light",1
"1440","first",27,"mover",1
"1540","first",27,"never",1
"1639","first",27,"order",1
"1737","first",27,"outgo",1
"2130","first",27,"sight",1
"2226","first",27,"start",1
"2419","first",27,"to be",1
"2516","first",27,"watch",1
"2613","first",27,"world",1
"2710","first",27,"worst",1
"1541","cheap",27,"money",6
"1834","cheap",27,"skate",6
"288","cheap",27,"cheep",4
"2227","cheap",27,"tacky",4
"2420","cheap",27,"tight",4
"1640","cheap",27,"nasty",3
"2614","cheap",27,"trick",3
"347","cheap",27,"chick",2
"448","cheap",27,"China",2
"1246","cheap",27,"goods",2
"1738","cheap",27,"price",2
"2711","cheap",27,"whore",2
"1172","cheap",27,"bread",1
"548","cheap",27,"chips",1
"647","cheap",27,"cigar",1
"748","cheap",27,"coins",1
"847","cheap",27,"dirty",1
"947","cheap",27,"dodge",1
"1048","cheap",27,"dress",1
"1173","cheap",27,"frail",1
"1344","cheap",27,"labor",1
"1442","cheap",27,"miser",1
"1932","cheap",27,"Spake",1
"2027","cheap",27,"store",1
"2131","cheap",27,"stuff",1
"2323","cheap",27,"tatty",1
"2517","cheap",27,"trash",1
"2518","large",28,"small",28
"1181","large",28,"barge",5
"652","large",28,"giant",5
"753","large",28,"grand",5
"852","large",28,"great",4
"1182","large",28,"heavy",4
"352","large",28,"bulky",2
"1446","large",28,"jumbo",2
"1645","large",28,"loose",2
"1935","large",28,"ocean",2
"2810","large",28,"world",2
"295","large",28,"bosom",1
"453","large",28,"drink",1
"552","large",28,"fries",1
"952","large",28,"gross",1
"1053","large",28,"group",1
"1251","large",28,"hefty",1
"1349","large",28,"house",1
"1546","large",28,"label",1
"1742","large",28,"Marge",1
"1837","large",28,"obese",1
"2030","large",28,"penis",1
"2134","large",28,"pizza",1
"2230","large",28,"purse",1
"2325","large",28,"regal",1
"2421","large",28,"roomy",1
"2615","large",28,"space",1
"2712","large",28,"table",1
"2326","party",29,"music",5
"2135","party",29,"hardy",4
"1838","party",29,"group",3
"2031","party",29,"happy",3
"2422","party",29,"night",3
"1183","party",29,"drink",2
"1252","party",29,"enjoy",2
"1350","party",29,"event",2
"1646","party",29,"games",2
"1184","party",29,"below",1
"296","party",29,"booze",1
"353","party",29,"cause",1
"454","party",29,"class",1
"553","party",29,"clock",1
"653","party",29,"clown",1
"754","party",29,"crowd",1
"853","party",29,"dance",1
"953","party",29,"Denis",1
"1054","party",29,"dress",1
"1447","party",29,"favor",1
"1547","party",29,"feast",1
"1743","party",29,"gifts",1
"1936","party",29,"guest",1
"2231","party",29,"house",1
"2519","party",29,"noise",1
"2616","party",29,"noisy",1
"2713","party",29,"piece",1
"2811","party",29,"posse",1
"297","party",29,"treat",1
"298","worry",25,"about",5
"2327","worry",25,"upset",5
"1055","worry",25,"frown",4
"854","worry",25,"don't",3
"1448","worry",25,"money",3
"354","worry",25,"angst",2
"455","worry",25,"beads",2
"1253","worry",25,"happy",2
"1185","worry",25,"a lot",1
"554","worry",25,"child",1
"654","worry",25,"crime",1
"755","worry",25,"death",1
"954","worry",25,"dwell",1
"1186","worry",25,"habit",1
"1351","worry",25,"lines",1
"1548","worry",25,"scary",1
"1647","worry",25,"sorry",1
"1744","worry",25,"sweat",1
"1839","worry",25,"taxes",1
"1937","worry",25,"tears",1
"2032","worry",25,"tense",1
"2136","worry",25,"tired",1
"2232","worry",25,"trial",1
"2423","worry",25,"wring",1
"2520","worry",25,"yikes",1
"299","order",26,"chaos",9
"655","order",26,"court",4
"2033","order",26,"place",4
"756","order",26,"first",2
"1187","order",26,"array",1
"355","order",26,"class",1
"456","order",26,"clean",1
"555","order",26,"clear",1
"855","order",26,"fresh",1
"955","order",26,"fries",1
"1056","order",26,"gavel",1
"1188","order",26,"gifts",1
"1254","order",26,"goods",1
"1352","order",26,"legal",1
"1449","order",26,"logic",1
"1549","order",26,"maths",1
"1648","order",26,"Nixon",1
"1745","order",26,"peace",1
"1840","order",26,"phone",1
"1938","order",26,"pizza",1
"2137","order",26,"plane",1
"2233","order",26,"quiet",1
"2328","order",26,"rules",1
"2424","order",26,"still",1
"2521","order",26,"total",1
"2617","order",26,"world",1
"1841","horse",26,"rider",6
"1939","horse",26,"sense",6
"458","horse",26,"buggy",5
"1650","horse",26,"power",4
"758","horse",26,"drawn",3
"2618","horse",26,"zebra",3
"1058","horse",26,"field",2
"1551","horse",26,"neigh",2
"2234","horse",26,"steed",2
"2522","horse",26,"wagon",2
"1191","horse",26,"alley",1
"2101","horse",26,"breed",1
"357","horse",26,"brown",1
"557","horse",26,"carry",1
"657","horse",26,"draft",1
"857","horse",26,"equus",1
"957","horse",26,"fence",1
"1192","horse",26,"great",1
"1256","horse",26,"large",1
"1354","horse",26,"llama",1
"1451","horse",26,"logic",1
"1747","horse",26,"proud",1
"2034","horse",26,"sport",1
"2138","horse",26,"spurs",1
"2329","horse",26,"teeth",1
"2425","horse",26,"trade",1
"1651","write",29,"paper",16
"2812","write",29,"words",7
"1059","write",29,"essay",4
"2426","write",29,"story",4
"1552","write",29,"novel",3
"358","write",29,"books",2
"1748","write",29,"print",2
"2035","write",29,"right",2
"2330","write",29,"spell",2
"2523","write",29,"think",2
"2910","write",29,"wrong",2
"1193","write",29,"about",1
"2102","write",29,"block",1
"459","write",29,"color",1
"558","write",29,"cramp",1
"658","write",29,"diary",1
"759","write",29,"draft",1
"858","write",29,"email",1
"958","write",29,"erase",1
"1194","write",29,"exams",1
"1257","write",29,"ideas",1
"1355","write",29,"music",1
"1452","write",29,"notes",1
"1842","write",29,"proof",1
"1940","write",29,"quiet",1
"2139","write",29,"skill",1
"2235","write",29,"songs",1
"2619","write",29,"tweet",1
"2714","write",29,"white",1
"359","fight",30,"argue",7
"760","fight",30,"brawl",7
"1941","fight",30,"punch",6
"1195","fight",30,"anger",3
"2103","fight",30,"angry",3
"1196","fight",30,"fists",3
"1843","fight",30,"prize",2
"2620","fight",30,"tears",2
"460","fight",30,"armor",1
"559","fight",30,"blood",1
"659","fight",30,"boxer",1
"859","fight",30,"bully",1
"959","fight",30,"cuffs",1
"1060","fight",30,"drama",1
"1258","fight",30,"gangs",1
"1356","fight",30,"legal",1
"1453","fight",30,"match",1
"1553","fight",30,"melee",1
"1652","fight",30,"night",1
"1749","fight",30,"pride",1
"2036","fight",30,"rebel",1
"2140","fight",30,"right",1
"2236","fight",30,"score",1
"2331","fight",30,"scrap",1
"2427","fight",30,"smack",1
"2524","fight",30,"sword",1
"2715","fight",30,"tiger",1
"2813","fight",30,"tough",1
"2911","fight",30,"words",1
"302","fight",30,"yanks",1
"2038","dress",27,"skirt",20
"762","dress",27,"fancy",6
"1555","dress",27,"pants",6
"2621","dress",27,"woman",6
"861","dress",27,"frock",5
"1943","dress",27,"shoes",5
"1654","dress",27,"party",4
"2237","dress",27,"style",4
"1199","dress",27,"black",2
"11100","dress",27,"heels",2
"1260","dress",27,"maker",2
"2525","dress",27,"white",2
"2105","dress",27,"candy",1
"361","dress",27,"child",1
"461","dress",27,"clean",1
"561","dress",27,"dance",1
"661","dress",27,"dirty",1
"961","dress",27,"groom",1
"1062","dress",27,"habit",1
"1358","dress",27,"night",1
"1455","dress",27,"nines",1
"1751","dress",27,"right",1
"1845","dress",27,"shirt",1
"2142","dress",27,"smart",1
"2332","dress",27,"twirl",1
"2428","dress",27,"under",1
"2716","dress",27,"women",1
"1261","stand",32,"erect",6
"1200","stand",32,"alone",5
"2814","stand",32,"still",5
"303","stand",32,"table",5
"2039","stand",32,"music",4
"763","stand",32,"by me",3
"3210","stand",32,"tired",3
"562","stand",32,"aside",2
"1359","stand",32,"fight",2
"1655","stand",32,"fruit",2
"1944","stand",32,"moral",2
"2526","stand",32,"proud",2
"2106","stand",32,"apart",1
"362","stand",32,"apple",1
"462","stand",32,"arise",1
"662","stand",32,"blind",1
"862","stand",32,"cause",1
"962","stand",32,"court",1
"1063","stand",32,"death",1
"11101","stand",32,"easel",1
"1456","stand",32,"frame",1
"1556","stand",32,"front",1
"1752","stand",32,"judge",1
"1846","stand",32,"kneel",1
"2143","stand",32,"night",1
"2238","stand",32,"place",1
"2333","stand",32,"plant",1
"2429","stand",32,"pride",1
"2622","stand",32,"right",1
"2717","stand",32,"spine",1
"2912","stand",32,"study",1
"3110","stand",32,"there",1
"2240","short",29,"small",28
"369","short",29,"brief",11
"2623","short",29,"story",8
"2147","short",29,"bread",3
"2334","short",29,"squat",3
"869","short",29,"dwarf",2
"1561","short",29,"quick",2
"2148","short",29,"skirt",2
"2430","short",29,"stack",2
"1207","short",29,"board",1
"468","short",29,"Casey",1
"569","short",29,"child",1
"669","short",29,"court",1
"770","short",29,"dress",1
"969","short",29,"ideas",1
"1070","short",29,"later",1
"11108","short",29,"money",1
"1268","short",29,"pants",1
"1366","short",29,"plank",1
"1462","short",29,"pygmy",1
"1660","short",29,"quote",1
"1756","short",29,"reach",1
"1849","short",29,"round",1
"1947","short",29,"ruler",1
"2042","short",29,"sassy",1
"2527","short",29,"stick",1
"2718","short",29,"stout",1
"2815","short",29,"sweet",1
"2913","short",29,"upset",1
"1760","heavy",30,"light",21
"1851","heavy",30,"metal",9
"775","heavy",30,"dense",8
"1664","heavy",30,"large",8
"1371","heavy",30,"heart",4
"1949","heavy",30,"obese",4
"574","heavy",30,"carry",2
"674","heavy",30,"cream",2
"2624","heavy",30,"tired",2
"304","heavy",30,"weary",2
"1275","heavy",30,"black",1
"2154","heavy",30,"books",1
"374","heavy",30,"build",1
"473","heavy",30,"bulky",1
"874","heavy",30,"docks",1
"974","heavy",30,"girth",1
"1075","heavy",30,"gloom",1
"11113","heavy",30,"grave",1
"1276","heavy",30,"hairy",1
"1467","heavy",30,"hefty",1
"1565","heavy",30,"laden",1
"2044","heavy",30,"rocks",1
"2155","heavy",30,"scale",1
"2242","heavy",30,"sleep",1
"2336","heavy",30,"small",1
"2432","heavy",30,"stone",1
"2528","heavy",30,"thick",1
"2719","heavy",30,"tough",1
"2816","heavy",30,"truck",1
"2914","heavy",30,"water",1
"2720","range",28,"stove",21
"2045","range",28,"rover",11
"776","range",28,"field",7
"2243","range",28,"scope",4
"575","range",28,"broad",3
"975","range",28,"grass",3
"1076","range",28,"group",2
"1950","range",28,"rifle",2
"2433","range",28,"shoot",2
"1277","range",28,"array",1
"2156","range",28,"arrow",1
"375","range",28,"basin",1
"474","range",28,"bison",1
"675","range",28,"bunch",1
"875","range",28,"graph",1
"11114","range",28,"hills",1
"1278","range",28,"horse",1
"1372","range",28,"items",1
"1468","range",28,"limit",1
"1566","range",28,"plain",1
"1665","range",28,"ranch",1
"1761","range",28,"reach",1
"1852","range",28,"realm",1
"2157","range",28,"scale",1
"2337","range",28,"shift",1
"2529","range",28,"space",1
"2625","range",28,"speck",1
"2817","range",28,"voice",1
"2915","clear",30,"water",20
"1666","clear",30,"glass",18
"777","clear",30,"clean",7
"1077","clear",30,"empty",4
"11115","clear",30,"erase",4
"2434","clear",30,"sunny",4
"2244","clear",30,"sight",2
"305","clear",30,"white",2
"1279","clear",30,"blows",1
"2158","clear",30,"break",1
"376","clear",30,"chair",1
"475","clear",30,"cheer",1
"576","clear",30,"Clair",1
"676","clear",30,"Clare",1
"876","clear",30,"color",1
"976","clear",30,"crisp",1
"1280","clear",30,"ether",1
"1373","clear",30,"fluid",1
"1469","clear",30,"foggy",1
"1567","clear",30,"fresh",1
"1762","clear",30,"image",1
"1853","clear",30,"known",1
"1951","clear",30,"lucid",1
"2046","clear",30,"plain",1
"2159","clear",30,"radio",1
"2338","clear",30,"skies",1
"2530","clear",30,"sweep",1
"2626","clear",30,"swipe",1
"2721","clear",30,"table",1
"2818","clear",30,"terse",1
"2437","equal",27,"sugar",8
"1860","equal",27,"maths",4
"2050","equal",27,"minus",4
"1675","equal",27,"level",3
"1301","equal",27,"alike",2
"2627","equal",27,"total",2
"2722","equal",27,"women",2
"2174","equal",27,"along",1
"388","equal",27,"April",1
"487","equal",27,"black",1
"588","equal",27,"civil",1
"688","equal",27,"close",1
"789","equal",27,"enter",1
"888","equal",27,"exact",1
"987","equal",27,"final",1
"1088","equal",27,"force",1
"11126","equal",27,"happy",1
"12101","equal",27,"horse",1
"1382","equal",27,"ideal",1
"1479","equal",27,"is to",1
"1576","equal",27,"kings",1
"1770","equal",27,"march",1
"1956","equal",27,"means",1
"2175","equal",27,"parts",1
"2248","equal",27,"share",1
"2341","equal",27,"small",1
"2531","equal",27,"sweet",1
"1579","quick",26,"rapid",12
"2438","quick",26,"swift",5
"1305","quick",26,"alive",3
"392","quick",26,"brown",3
"491","quick",26,"bunny",3
"793","quick",26,"hurry",3
"11130","quick",26,"quack",3
"1958","quick",26,"smart",3
"2179","quick",26,"speed",3
"2180","quick",26,"bread",2
"12105","quick",26,"quiet",2
"2532","quick",26,"think",2
"592","quick",26,"flash",1
"692","quick",26,"fleet",1
"892","quick",26,"light",1
"991","quick",26,"march",1
"1092","quick",26,"never",1
"1386","quick",26,"quirk",1
"1482","quick",26,"quite",1
"1678","quick",26,"shoes",1
"1773","quick",26,"short",1
"1863","quick",26,"slick",1
"2052","quick",26,"smoke",1
"2249","quick",26,"start",1
"2342","quick",26,"study",1
"2628","quick",26,"zippy",1
"2439","train",27,"track",14
"2181","train",27,"steam",8
"2343","train",27,"teach",8
"12106","train",27,"learn",4
"2723","train",27,"wreck",4
"1580","train",27,"noisy",2
"2053","train",27,"speed",2
"2533","train",27,"wagon",2
"1306","train",27,"carry",1
"2182","train",27,"chuff",1
"393","train",27,"coach",1
"492","train",27,"depot",1
"593","train",27,"diner",1
"693","train",27,"dirty",1
"794","train",27,"dress",1
"893","train",27,"exert",1
"992","train",27,"going",1
"1093","train",27,"grain",1
"11131","train",27,"hills",1
"1387","train",27,"moves",1
"1483","train",27,"noise",1
"1679","train",27,"place",1
"1774","train",27,"plane",1
"1864","train",27,"seats",1
"1959","train",27,"sleep",1
"2250","train",27,"study",1
"2629","train",27,"wheel",1
"497","spell",28,"check",16
"2534","spell",28,"witch",16
"1392","spell",28,"magic",13
"2630","spell",28,"words",12
"2724","spell",28,"write",8
"2188","spell",28,"bound",4
"2056","spell",28,"speak",4
"398","spell",28,"break",2
"1487","spell",28,"paper",2
"1393","spell",28,"abc's",1
"598","spell",28,"class",1
"698","spell",28,"dizzy",1
"799","spell",28,"error",1
"898","spell",28,"faint",1
"997","spell",28,"fairy",1
"1098","spell",28,"later",1
"11136","spell",28,"learn",1
"12111","spell",28,"light",1
"1584","spell",28,"right",1
"1683","spell",28,"set a",1
"1778","spell",28,"sleep",1
"1868","spell",28,"smell",1
"1962","spell",28,"spasm",1
"2189","spell",28,"spiel",1
"2252","spell",28,"stint",1
"2345","spell",28,"vowel",1
"2440","spell",28,"Wicca",1
"2819","spell",28,"wrong",1
"9100","blood",25,"fluid",3
"1781","blood",25,"serum",3
"2441","blood",25,"water",3
"6101","blood",25,"donor",2
"2346","blood",25,"veins",2
"1398","blood",25,"alive",1
"2193","blood",25,"black",1
"3101","blood",25,"clots",1
"4100","blood",25,"creep",1
"5101","blood",25,"death",1
"7102","blood",25,"drips",1
"8101","blood",25,"faint",1
"10101","blood",25,"guilt",1
"11139","blood",25,"hands",1
"12114","blood",25,"heart",1
"1399","blood",25,"hound",1
"1490","blood",25,"libel",1
"1587","blood",25,"messy",1
"1686","blood",25,"money",1
"1871","blood",25,"sheet",1
"1965","blood",25,"stain",1
"2059","blood",25,"sweat",1
"2194","blood",25,"taste",1
"2254","blood",25,"tears",1
"2535","blood",25,"young",1
"3103","under",30,"below",38
"2916","under",30,"water",9
"1401","under",30,"above",5
"2348","under",30,"table",5
"1688","under",30,"neath",4
"4102","under",30,"cover",3
"1589","under",30,"lower",3
"2197","under",30,"stand",3
"2442","under",30,"taker",2
"2536","under",30,"there",2
"2198","under",30,"afoot",1
"5103","under",30,"crawl",1
"6103","under",30,"death",1
"7104","under",30,"depth",1
"8103","under",30,"drown",1
"9102","under",30,"duvet",1
"10103","under",30,"floor",1
"11141","under",30,"going",1
"12116","under",30,"Kieth",1
"13101","under",30,"ledge",1
"1492","under",30,"loser",1
"1783","under",30,"ocean",1
"1872","under",30,"pants",1
"1967","under",30,"porch",1
"2061","under",30,"stair",1
"2256","under",30,"stars",1
"2631","under",30,"today",1
"2725","under",30,"udder",1
"2820","under",30,"value",1
"306","under",30,"world",1
"1593","awful",29,"nasty",6
"11145","awful",29,"gross",4
"21103","awful",29,"smell",3
"2259","awful",29,"stink",2
"2350","awful",29,"taste",2
"1405","awful",29,"agony",1
"2202","awful",29,"anger",1
"3107","awful",29,"angry",1
"4106","awful",29,"black",1
"5107","awful",29,"blood",1
"6107","awful",29,"brown",1
"7108","awful",29,"event",1
"8107","awful",29,"funny",1
"9106","awful",29,"gauge",1
"10107","awful",29,"grand",1
"12120","awful",29,"hurts",1
"13105","awful",29,"lousy",1
"1496","awful",29,"movie",1
"1692","awful",29,"penis",1
"1787","awful",29,"scary",1
"1876","awful",29,"scene",1
"1971","awful",29,"sewer",1
"2065","awful",29,"shame",1
"2444","awful",29,"thing",1
"2537","awful",29,"tired",1
"2632","awful",29,"truth",1
"2726","awful",29,"verse",1
"2821","awful",29,"worse",1
"2917","awful",29,"yucky",1
"8112","smoke",27,"cough",7
"7113","smoke",27,"cigar",6
"2068","smoke",27,"smell",5
"2352","smoke",27,"stack",4
"2633","smoke",27,"water",4
"10110","smoke",27,"dirty",3
"1879","smoke",27,"plume",3
"1974","smoke",27,"rings",3
"2207","smoke",27,"alarm",2
"5112","smoke",27,"black",2
"1498","smoke",27,"kills",2
"1596","smoke",27,"lungs",2
"2445","smoke",27,"stink",2
"1499","smoke",27,"acrid",1
"3113","smoke",27,"ashes",1
"4111","smoke",27,"belch",1
"6112","smoke",27,"choke",1
"9110","smoke",27,"death",1
"11149","smoke",27,"don't",1
"12124","smoke",27,"fumes",1
"13109","smoke",27,"house",1
"1695","smoke",27,"music",1
"1790","smoke",27,"nasty",1
"21106","smoke",27,"smoky",1
"2262","smoke",27,"smote",1
"2538","smoke",27,"taste",1
"2727","smoke",27,"white",1
"13116","court",26,"judge",35
"12131","court",26,"house",5
"15103","court",26,"legal",5
"2634","court",26,"trial",4
"10117","court",26,"gavel",2
"14106","court",26,"kings",2
