"","cue","n_resp","resp","count"
"1620","match",22,"socks",1
"1720","match",22,"spark",1
"1818","match",22,"sport",1
"2011","match",22,"three",1
"2116","match",22,"union",1
"2214","match",22,"Wi-Fi",1
"1226","sorry",23,"I’m",5
"626","sorry",23,"fault",3
"1917","sorry",23,"tears",3
"2215","sorry",23,"worry",3
"2311","sorry",23,"wrong",3
"527","sorry",23,"error",2
"727","sorry",23,"frown",2
"1131","sorry",23,"blame",1
"249","sorry",23,"board",1
"326","sorry",23,"can't",1
"427","sorry",23,"defer",1
"826","sorry",23,"grief",1
"927","sorry",23,"guilt",1
"1027","sorry",23,"happy",1
"1132","sorry",23,"heart",1
"1324","sorry",23,"lorry",1
"1423","sorry",23,"other",1
"1523","sorry",23,"ruing",1
"1622","sorry",23,"small",1
"1722","sorry",23,"state",1
"1820","sorry",23,"story",1
"2012","sorry",23,"thank",1
"2117","sorry",23,"upset",1
"827","offer",21,"money",5
"1424","offer",21,"price",3
"1133","offer",21,"admit",1
"250","offer",21,"bribe",1
"327","offer",21,"cheap",1
"428","offer",21,"extra",1
"528","offer",21,"final",1
"627","offer",21,"happy",1
"728","offer",21,"later",1
"928","offer",21,"offal",1
"1028","offer",21,"other",1
"1134","offer",21,"otter",1
"1227","offer",21,"peace",1
"1325","offer",21,"plead",1
"1524","offer",21,"sales",1
"1623","offer",21,"share",1
"1723","offer",21,"state",1
"1821","offer",21,"stock",1
"1918","offer",21,"trick",1
"2013","offer",21,"value",1
"2118","offer",21,"yield",1
"254","cross",23,"angry",24
"1135","cross",23,"Jesus",18
"529","cross",23,"criss",8
"1136","cross",23,"anger",4
"1525","cross",23,"patch",3
"1822","cross",23,"roads",3
"2014","cross",23,"upset",3
"929","cross",23,"hatch",2
"2119","cross",23,"white",2
"2216","cross",23,"wrong",2
"328","cross",23,"Bible",1
"429","cross",23,"Chris",1
"628","cross",23,"dress",1
"729","cross",23,"hairs",1
"828","cross",23,"happy",1
"1029","cross",23,"heavy",1
"1228","cross",23,"lines",1
"1326","cross",23,"moody",1
"1425","cross",23,"mount",1
"1624","cross",23,"paths",1
"1724","cross",23,"river",1
"1919","cross",23,"sonic",1
"2312","cross",23,"youth",1
"330","money",29,"coins",12
"1328","money",29,"green",11
"256","money",29,"bills",6
"1230","money",29,"greed",5
"2313","money",29,"power",5
"2410","money",29,"spend",5
"1725","money",29,"lucre",3
"731","money",29,"dirty",2
"2015","money",29,"notes",2
"2120","money",29,"paper",2
"1139","money",29,"banks",1
"431","money",29,"color",1
"531","money",29,"devil",1
"630","money",29,"diner",1
"830","money",29,"dough",1
"931","money",29,"earth",1
"1031","money",29,"fiend",1
"1140","money",29,"funds",1
"1426","money",29,"honey",1
"1526","money",29,"house",1
"1625","money",29,"krone",1
"1920","money",29,"moult",1
"2217","money",29,"pound",1
"257","money",29,"talks",1
"263","money",29,"taxes",1
"272","money",29,"trade",1
"281","money",29,"trees",1
"291","money",29,"trust",1
"301","money",29,"value",1
"1726","cover",26,"sheet",9
"2218","cover",26,"story",4
"932","cover",26,"duvet",3
"732","cover",26,"close",2
"1427","cover",26,"plate",2
"2314","cover",26,"table",2
"264","cover",26,"under",2
"1141","cover",26,"a lid",1
"258","cover",26,"above",1
"331","cover",26,"ahead",1
"432","cover",26,"alias",1
"532","cover",26,"black",1
"631","cover",26,"board",1
"831","cover",26,"cloud",1
"1032","cover",26,"evade",1
"1142","cover",26,"field",1
"1231","cover",26,"music",1
"1329","cover",26,"night",1
"1527","cover",26,"quilt",1
"1626","cover",26,"sewer",1
"1823","cover",26,"shiny",1
"1921","cover",26,"sleep",1
"2016","cover",26,"stiff",1
"2121","cover",26,"stock",1
"2411","cover",26,"three",1
"259","cover",26,"towel",1
"1033","hullo",20,"hello",51
"1330","hullo",20,"phone",4
"1528","hullo",20,"slang",4
"933","hullo",20,"hallo",3
"1143","hullo",20,"howdy",3
"533","hullo",20,"g'bye",2
"632","hullo",20,"g'day",2
"733","hullo",20,"greet",2
"1627","hullo",20,"smile",2
"1824","hullo",20,"there",2
"1144","hullo",20,"'ullo",1
"260","hullo",20,"Brits",1
"332","hullo",20,"email",1
"433","hullo",20,"empty",1
"832","hullo",20,"gully",1
"1232","hullo",20,"noise",1
"1428","hullo",20,"scarf",1
"1727","hullo",20,"speak",1
"1922","hullo",20,"today",1
"2017","hullo",20,"uh-oh",1
"833","laugh",24,"happy",29
"1728","laugh",24,"smile",27
"734","laugh",24,"funny",24
"1034","laugh",24,"humor",9
"265","laugh",24,"belly",3
"633","laugh",24,"enjoy",3
"2219","laugh",24,"teeth",3
"1331","laugh",24,"mirth",2
"1923","laugh",24,"sound",2
"2122","laugh",24,"tears",2
"2412","laugh",24,"woman",2
"1145","laugh",24,"again",1
"333","laugh",24,"cheer",1
"434","laugh",24,"comic",1
"534","laugh",24,"dance",1
"934","laugh",24,"ho ho",1
"1146","laugh",24,"jokes",1
"1233","laugh",24,"merry",1
"1429","laugh",24,"mouth",1
"1529","laugh",24,"often",1
"1628","laugh",24,"silly",1
"1825","laugh",24,"snort",1
"2018","laugh",24,"study",1
"2315","laugh",24,"track",1
"1036","force",25,"field",14
"2019","force",25,"power",10
"635","force",25,"brute",5
"1148","force",25,"anger",2
"335","force",25,"armed",2
"536","force",25,"break",2
"736","force",25,"bully",2
"835","force",25,"entry",2
"1149","force",25,"fight",2
"1332","force",25,"heavy",2
"1530","force",25,"Maure",2
"267","force",25,"angry",1
"436","force",25,"blunt",1
"936","force",25,"exert",1
"1234","force",25,"green",1
"1430","force",25,"impel",1
"1629","force",25,"might",1
"1729","force",25,"minor",1
"1826","force",25,"movie",1
"1924","force",25,"pound",1
"2123","force",25,"scary",1
"2220","force",25,"seize",1
"2316","force",25,"shove",1
"2413","force",25,"storm",1
"2510","force",25,"wield",1
"537","stage",28,"coach",11
"1150","stage",28,"actor",10
"836","stage",28,"drama",7
"282","stage",28,"world",7
"1431","stage",28,"music",5
"1630","stage",28,"phase",5
"1037","stage",28,"front",3
"1531","stage",28,"opera",2
"1730","stage",28,"place",2
"2511","stage",28,"start",2
"268","stage",28,"amass",1
"336","stage",28,"arena",1
"437","stage",28,"black",1
"636","stage",28,"craft",1
"737","stage",28,"dance",1
"937","stage",28,"false",1
"1151","stage",28,"horse",1
"1235","stage",28,"house",1
"1333","stage",28,"level",1
"1827","stage",28,"plays",1
"1925","stage",28,"right",1
"2020","stage",28,"round",1
"2124","stage",28,"setup",1
"2221","stage",28,"shout",1
"2317","stage",28,"stand",1
"2414","stage",28,"stare",1
"269","stage",28,"teach",1
"273","stage",28,"wagon",1
"1828","drive",21,"train",6
"275","drive",21,"crazy",4
"1633","drive",21,"steer",3
"1040","drive",21,"motor",2
"1238","drive",21,"power",2
"1926","drive",21,"truck",2
"1156","drive",21,"candy",1
"339","drive",21,"daisy",1
"440","drive",21,"force",1
"540","drive",21,"guide",1
"639","drive",21,"heart",1
"740","drive",21,"horse",1
"839","drive",21,"lines",1
"940","drive",21,"miles",1
"1157","drive",21,"pedal",1
"1336","drive",21,"shaft",1
"1434","drive",21,"sheep",1
"1534","drive",21,"space",1
"1731","drive",21,"stick",1
"2021","drive",21,"watch",1
"2125","drive",21,"wheel",1
"1732","press",27,"paper",10
"1535","press",27,"media",6
"840","press",27,"enter",3
"1634","press",27,"pants",3
"1829","press",27,"print",3
"2222","press",27,"smash",3
"1239","press",27,"heavy",2
"1337","press",27,"hurry",2
"1435","press",27,"juice",2
"2318","press",27,"steam",2
"2512","press",27,"thumb",2
"2610","press",27,"touch",2
"276","press",27,"words",2
"1158","press",27,"again",1
"277","press",27,"apple",1
"340","press",27,"bench",1
"441","press",27,"board",1
"541","press",27,"click",1
"640","press",27,"corps",1
"741","press",27,"dress",1
"941","press",27,"flesh",1
"1041","press",27,"force",1
"1159","press",27,"frown",1
"1927","press",27,"shift",1
"2022","press",27,"shirt",1
"2126","press",27,"shove",1
"2415","press",27,"stomp",1
"2223","story",29,"novel",8
"841","story",29,"floor",5
"542","story",29,"fable",4
"278","story",29,"board",2
"442","story",29,"child",2
"1042","story",29,"glory",2
"283","story",29,"words",2
"1160","story",29,"alibi",1
"341","story",29,"brave",1
"641","story",29,"fairy",1
"742","story",29,"false",1
"942","story",29,"funny",1
"1161","story",29,"group",1
"1240","story",29,"happy",1
"1338","story",29,"hoary",1
"1436","story",29,"house",1
"1536","story",29,"human",1
"1635","story",29,"lines",1
"1733","story",29,"lying",1
"1830","story",29,"movie",1
"1928","story",29,"multi",1
"2023","story",29,"music",1
"2127","story",29,"myths",1
"2319","story",29,"quilt",1
"2416","story",29,"recap",1
"2513","story",29,"relax",1
"2611","story",29,"short",1
"279","story",29,"study",1
"292","story",29,"write",1
"544","paint",26,"color",45
"284","paint",26,"brush",35
"1242","paint",26,"house",13
"1164","paint",26,"horse",5
"2514","paint",26,"walls",5
"643","paint",26,"cover",4
"2612","paint",26,"white",4
"1340","paint",26,"latex",3
"943","paint",26,"fence",2
"1929","paint",26,"shiny",2
"2417","paint",26,"wagon",2
"1165","paint",26,"board",1
"343","paint",26,"chalk",1
"444","paint",26,"child",1
"744","paint",26,"daily",1
"843","paint",26,"decor",1
"1044","paint",26,"gloss",1
"1438","paint",26,"messy",1
"1538","paint",26,"Monet",1
"1637","paint",26,"mural",1
"1735","paint",26,"nails",1
"1831","paint",26,"paper",1
"2024","paint",26,"skill",1
"2128","paint",26,"smell",1
"2224","paint",26,"stain",1
"2320","paint",26,"today",1
"1832","sense",25,"smell",33
"2515","sense",25,"touch",14
"2321","sense",25,"taste",8
"1539","sense",25,"sight",6
"1736","sense",25,"smart",4
"1638","sense",25,"sixth",3
"344","sense",25,"cents",2
"1166","sense",25,"aware",1
"285","sense",25,"brain",1
"445","sense",25,"dense",1
"545","sense",25,"fifth",1
"644","sense",25,"horse",1
"745","sense",25,"humor",1
"844","sense",25,"karma",1
"944","sense",25,"logic",1
"1045","sense",25,"maybe",1
"1167","sense",25,"money",1
"1243","sense",25,"nerve",1
"1341","sense",25,"peace",1
"1439","sense",25,"right",1
"1930","sense",25,"Snell",1
"2025","sense",25,"spoon",1
"2129","sense",25,"stink",1
"2225","sense",25,"sweet",1
"2418","sense",25,"think",1
"1833","first",27,"place",10
"2322","first",27,"third",8
"546","first",27,"class",5
"345","first",27,"begin",3
"945","first",27,"front",3
"2026","first",27,"prize",3
"446","first",27,"child",2
"1046","first",27,"grade",2
"1931","first",27,"prime",2
"1168","first",27,"ahead",1
"286","first",27,"alpha",1
"645","first",27,"debut",1
"746","first",27,"early",1
"845","first",27,"every",1
"1169","first",27,"happy",1
"1244","first",27,"level",1
"1342","first",27,"light",1
"1440","first",27,"mover",1
"1540","first",27,"never",1
"1639","first",27,"order",1
"1737","first",27,"outgo",1
"2130","first",27,"sight",1
"2226","first",27,"start",1
"2419","first",27,"to be",1
"2516","first",27,"watch",1
"2613","first",27,"world",1
"2710","first",27,"worst",1
"1541","cheap",27,"money",6
"1834","cheap",27,"skate",6
"288","cheap",27,"cheep",4
"2227","cheap",27,"tacky",4
"2420","cheap",27,"tight",4
"1640","cheap",27,"nasty",3
"2614","cheap",27,"trick",3
"347","cheap",27,"chick",2
"448","cheap",27,"China",2
"1246","cheap",27,"goods",2
"1738","cheap",27,"price",2
"2711","cheap",27,"whore",2
"1172","cheap",27,"bread",1
"548","cheap",27,"chips",1
"647","cheap",27,"cigar",1
"748","cheap",27,"coins",1
"847","cheap",27,"dirty",1
"947","cheap",27,"dodge",1
"1048","cheap",27,"dress",1
"1173","cheap",27,"frail",1
"1344","cheap",27,"labor",1
"1442","cheap",27,"miser",1
"1932","cheap",27,"Spake",1
"2027","cheap",27,"store",1
"2131","cheap",27,"stuff",1
"2323","cheap",27,"tatty",1
"2517","cheap",27,"trash",1
"1178","knock",21,"about",3
"751","knock",21,"heads",3
"1347","knock",21,"noise",3
"1444","knock",21,"pound",3
"2028","knock",21,"there",3
"451","knock",21,"entry",2
"850","knock",21,"hello",2
"950","knock",21,"kneed",2
"1740","knock",21,"sound",2
"2132","knock",21,"visit",2
"2228","knock",21,"who's",2
"293","knock",21,"apply",1
"350","knock",21,"enter",1
"550","knock",21,"force",1
"650","knock",21,"guest",1
"1051","knock",21,"knees",1
"1249","knock",21,"motor",1
"1544","knock",21,"raven",1
"1643","knock",21,"smack",1
"1835","knock",21,"spell",1
"1933","knock",21,"table",1
"2324","place",23,"where",5
"551","place",23,"house",4
"1836","place",23,"there",3
"1934","place",23,"thing",3
"1179","place",23,"space",2
"1180","place",23,"abode",1
"294","place",23,"go to",1
"351","place",23,"going",1
"452","place",23,"habit",1
"651","place",23,"Paris",1
"752","place",23,"plane",1
"851","place",23,"plank",1
"951","place",23,"plaza",1
"1052","place",23,"pleat",1
"1250","place",23,"stand",1
"1348","place",23,"state",1
"1445","place",23,"stead",1
"1545","place",23,"story",1
"1644","place",23,"sunny",1
"1741","place",23,"table",1
"2029","place",23,"to be",1
"2133","place",23,"urban",1
"2229","place",23,"value",1
"2518","large",28,"small",28
"1181","large",28,"barge",5
"652","large",28,"giant",5
"753","large",28,"grand",5
"852","large",28,"great",4
"1182","large",28,"heavy",4
"352","large",28,"bulky",2
"1446","large",28,"jumbo",2
"1645","large",28,"loose",2
"1935","large",28,"ocean",2
"2810","large",28,"world",2
"295","large",28,"bosom",1
"453","large",28,"drink",1
"552","large",28,"fries",1
"952","large",28,"gross",1
"1053","large",28,"group",1
"1251","large",28,"hefty",1
"1349","large",28,"house",1
"1546","large",28,"label",1
"1742","large",28,"Marge",1
"1837","large",28,"obese",1
"2030","large",28,"penis",1
"2134","large",28,"pizza",1
"2230","large",28,"purse",1
"2325","large",28,"regal",1
"2421","large",28,"roomy",1
"2615","large",28,"space",1
"2712","large",28,"table",1
"2326","party",29,"music",5
"2135","party",29,"hardy",4
"1838","party",29,"group",3
"2031","party",29,"happy",3
"2422","party",29,"night",3
"1183","party",29,"drink",2
"1252","party",29,"enjoy",2
"1350","party",29,"event",2
"1646","party",29,"games",2
"1184","party",29,"below",1
"296","party",29,"booze",1
"353","party",29,"cause",1
"454","party",29,"class",1
"553","party",29,"clock",1
"653","party",29,"clown",1
"754","party",29,"crowd",1
"853","party",29,"dance",1
"953","party",29,"Denis",1
"1054","party",29,"dress",1
"1447","party",29,"favor",1
"1547","party",29,"feast",1
"1743","party",29,"gifts",1
"1936","party",29,"guest",1
"2231","party",29,"house",1
"2519","party",29,"noise",1
"2616","party",29,"noisy",1
"2713","party",29,"piece",1
"2811","party",29,"posse",1
"297","party",29,"treat",1
"298","worry",25,"about",5
"2327","worry",25,"upset",5
"1055","worry",25,"frown",4
"854","worry",25,"don't",3
"1448","worry",25,"money",3
"354","worry",25,"angst",2
"455","worry",25,"beads",2
"1253","worry",25,"happy",2
"1185","worry",25,"a lot",1
"554","worry",25,"child",1
"654","worry",25,"crime",1
"755","worry",25,"death",1
"954","worry",25,"dwell",1
"1186","worry",25,"habit",1
"1351","worry",25,"lines",1
"1548","worry",25,"scary",1
"1647","worry",25,"sorry",1
"1744","worry",25,"sweat",1
"1839","worry",25,"taxes",1
"1937","worry",25,"tears",1
"2032","worry",25,"tense",1
"2136","worry",25,"tired",1
"2232","worry",25,"trial",1
"2423","worry",25,"wring",1
"2520","worry",25,"yikes",1
"299","order",26,"chaos",9
"655","order",26,"court",4
"2033","order",26,"place",4
"756","order",26,"first",2
"1187","order",26,"array",1
"355","order",26,"class",1
"456","order",26,"clean",1
"555","order",26,"clear",1
"855","order",26,"fresh",1
"955","order",26,"fries",1
"1056","order",26,"gavel",1
"1188","order",26,"gifts",1
"1254","order",26,"goods",1
"1352","order",26,"legal",1
"1449","order",26,"logic",1
"1549","order",26,"maths",1
"1648","order",26,"Nixon",1
"1745","order",26,"peace",1
"1840","order",26,"phone",1
"1938","order",26,"pizza",1
"2137","order",26,"plane",1
"2233","order",26,"quiet",1
"2328","order",26,"rules",1
"2424","order",26,"still",1
"2521","order",26,"total",1
"2617","order",26,"world",1
"1841","horse",26,"rider",6
"1939","horse",26,"sense",6
"458","horse",26,"buggy",5
"1650","horse",26,"power",4
"758","horse",26,"drawn",3
"2618","horse",26,"zebra",3
"1058","horse",26,"field",2
"1551","horse",26,"neigh",2
"2234","horse",26,"steed",2
"2522","horse",26,"wagon",2
"1191","horse",26,"alley",1
"2101","horse",26,"breed",1
"357","horse",26,"brown",1
"557","horse",26,"carry",1
"657","horse",26,"draft",1
"857","horse",26,"equus",1
"957","horse",26,"fence",1
"1192","horse",26,"great",1
"1256","horse",26,"large",1
"1354","horse",26,"llama",1
"1451","horse",26,"logic",1
"1747","horse",26,"proud",1
"2034","horse",26,"sport",1
"2138","horse",26,"spurs",1
"2329","horse",26,"teeth",1
"2425","horse",26,"trade",1
"1651","write",29,"paper",16
"2812","write",29,"words",7
"1059","write",29,"essay",4
"2426","write",29,"story",4
"1552","write",29,"novel",3
"358","write",29,"books",2
"1748","write",29,"print",2
"2035","write",29,"right",2
"2330","write",29,"spell",2
"2523","write",29,"think",2
"2910","write",29,"wrong",2
"1193","write",29,"about",1
"2102","write",29,"block",1
"459","write",29,"color",1
"558","write",29,"cramp",1
"658","write",29,"diary",1
"759","write",29,"draft",1
"858","write",29,"email",1
"958","write",29,"erase",1
"1194","write",29,"exams",1
"1257","write",29,"ideas",1
"1355","write",29,"music",1
"1452","write",29,"notes",1
"1842","write",29,"proof",1
"1940","write",29,"quiet",1
"2139","write",29,"skill",1
"2235","write",29,"songs",1
"2619","write",29,"tweet",1
"2714","write",29,"white",1
"359","fight",30,"argue",7
"760","fight",30,"brawl",7
"1941","fight",30,"punch",6
"1195","fight",30,"anger",3
"2103","fight",30,"angry",3
"1196","fight",30,"fists",3
"1843","fight",30,"prize",2
"2620","fight",30,"tears",2
"460","fight",30,"armor",1
"559","fight",30,"blood",1
"659","fight",30,"boxer",1
"859","fight",30,"bully",1
"959","fight",30,"cuffs",1
"1060","fight",30,"drama",1
"1258","fight",30,"gangs",1
"1356","fight",30,"legal",1
"1453","fight",30,"match",1
"1553","fight",30,"melee",1
"1652","fight",30,"night",1
"1749","fight",30,"pride",1
"2036","fight",30,"rebel",1
"2140","fight",30,"right",1
"2236","fight",30,"score",1
"2331","fight",30,"scrap",1
"2427","fight",30,"smack",1
"2524","fight",30,"sword",1
"2715","fight",30,"tiger",1
"2813","fight",30,"tough",1
"2911","fight",30,"words",1
"302","fight",30,"yanks",1
"1454","apply",20,"paint",5
"2037","apply",20,"stick",5
"360","apply",20,"apple",3
"1942","apply",20,"smear",2
"1197","apply",20,"affix",1
"2104","apply",20,"allow",1
"560","apply",20,"cover",1
"660","apply",20,"email",1
"761","apply",20,"enter",1
"860","apply",20,"exert",1
"960","apply",20,"focus",1
"1061","apply",20,"force",1
"1198","apply",20,"house",1
"1259","apply",20,"legal",1
"1357","apply",20,"order",1
"1554","apply",20,"place",1
"1653","apply",20,"press",1
"1750","apply",20,"short",1
"1844","apply",20,"skill",1
"2141","apply",20,"think",1
"2038","dress",27,"skirt",20
"762","dress",27,"fancy",6
"1555","dress",27,"pants",6
"2621","dress",27,"woman",6
"861","dress",27,"frock",5
"1943","dress",27,"shoes",5
"1654","dress",27,"party",4
"2237","dress",27,"style",4
"1199","dress",27,"black",2
"11100","dress",27,"heels",2
"1260","dress",27,"maker",2
"2525","dress",27,"white",2
"2105","dress",27,"candy",1
"361","dress",27,"child",1
"461","dress",27,"clean",1
"561","dress",27,"dance",1
"661","dress",27,"dirty",1
"961","dress",27,"groom",1
"1062","dress",27,"habit",1
"1358","dress",27,"night",1
"1455","dress",27,"nines",1
"1751","dress",27,"right",1
"1845","dress",27,"shirt",1
"2142","dress",27,"smart",1
"2332","dress",27,"twirl",1
"2428","dress",27,"under",1
"2716","dress",27,"women",1
"1261","stand",32,"erect",6
"1200","stand",32,"alone",5
"2814","stand",32,"still",5
"303","stand",32,"table",5
"2039","stand",32,"music",4
"763","stand",32,"by me",3
"3210","stand",32,"tired",3
"562","stand",32,"aside",2
"1359","stand",32,"fight",2
"1655","stand",32,"fruit",2
"1944","stand",32,"moral",2
"2526","stand",32,"proud",2
"2106","stand",32,"apart",1
"362","stand",32,"apple",1
"462","stand",32,"arise",1
"662","stand",32,"blind",1
"862","stand",32,"cause",1
"962","stand",32,"court",1
"1063","stand",32,"death",1
"11101","stand",32,"easel",1
"1456","stand",32,"frame",1
"1556","stand",32,"front",1
"1752","stand",32,"judge",1
"1846","stand",32,"kneel",1
"2143","stand",32,"night",1
"2238","stand",32,"place",1
"2333","stand",32,"plant",1
